gender,age,province,cps19_votechoice,cps19_votechoice_pr,pes19_votechoice2019,vote_choice,vote_Justin_Trudeau,vote_Andrew_Scheer
Female,22,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Male,41,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,54,Ontario,ndp,"NA",NDP,NDP,0,0
Female,63,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,38,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,60,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,29,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,54,Ontario,Don't know/ Prefer not to answer,"NA",Conservative Party,Conservative Party,0,1
Female,48,New Brunswick,ndp,"NA","NA",ndp,0,0
Male,59,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,53,British Columbia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,71,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,60,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,34,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,67,Saskatchewan,Conservative Party,"NA","NA",Conservative Party,0,1
Female,39,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,57,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,77,Nova Scotia,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,44,New Brunswick,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,67,Ontario,Don't know/ Prefer not to answer,"NA",Conservative Party,Conservative Party,0,1
Female,55,New Brunswick,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,22,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,62,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,49,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,58,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,50,Saskatchewan,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,44,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,57,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,29,Nova Scotia,NA,"NA",NDP,NDP,0,0
Female,49,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,47,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,59,Manitoba,ndp,"NA","NA",ndp,0,0
Male,36,Nova Scotia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,35,British Columbia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,59,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,40,Alberta,NA,ndp,"NA",ndp,0,0
Male,41,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,77,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Male,61,New Brunswick,Liberal Party,"NA","NA",Liberal Party,1,0
Male,37,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,44,Saskatchewan,Conservative Party,"NA","NA",Conservative Party,0,1
Male,69,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,68,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,45,Quebec,NA,Liberal Party,"NA",Liberal Party,1,0
Male,73,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Female,43,Quebec,ndp,"NA","NA",ndp,0,0
Male,47,Ontario,Green Party,"NA",Another party (specify),Another party (specify),0,0
Male,68,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,67,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,60,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,37,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,52,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,42,Quebec,People's Party,"NA","NA",People's Party,0,0
Female,46,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,52,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,41,British Columbia,Green Party,"NA",Green Party,Green Party,0,0
Male,36,Quebec,NA,Liberal Party,"NA",Liberal Party,1,0
Male,47,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,27,Manitoba,Green Party,"NA","NA",Green Party,0,0
Female,60,Ontario,Don't know/ Prefer not to answer,"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Male,65,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,43,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,39,Alberta,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,53,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,61,Ontario,Green Party,"NA",Green Party,Green Party,0,0
Male,60,Ontario,Don't know/ Prefer not to answer,"NA",Conservative Party,Conservative Party,0,1
Male,49,British Columbia,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,40,Alberta,Conservative Party,"NA",Liberal Party,Liberal Party,1,0
Male,67,Prince Edward Island,Conservative Party,"NA","NA",Conservative Party,0,1
Male,50,British Columbia,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,38,Manitoba,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,45,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,35,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,44,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,63,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,60,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,66,Newfoundland and Labrador,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,62,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,70,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Male,41,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,34,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,78,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,60,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,76,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,76,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,71,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,56,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,29,Ontario,ndp,"NA","NA",ndp,0,0
Male,68,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,25,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,44,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,74,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Female,50,Nova Scotia,NA,"NA",Liberal Party,Liberal Party,1,0
Male,27,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,59,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,66,Nova Scotia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,61,Alberta,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,40,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,64,Manitoba,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,18,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,50,Nova Scotia,Conservative Party,"NA","NA",Conservative Party,0,1
Female,37,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,22,Alberta,ndp,"NA","NA",ndp,0,0
Female,61,Nova Scotia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,35,New Brunswick,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,64,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,65,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,65,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,41,Ontario,Don't know/ Prefer not to answer,"NA",Green Party,Green Party,0,0
Female,57,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,70,British Columbia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,51,Ontario,ndp,"NA",NDP,NDP,0,0
Female,35,Ontario,ndp,"NA","NA",ndp,0,0
Male,30,Manitoba,Conservative Party,"NA","NA",Conservative Party,0,1
Male,49,British Columbia,Conservative Party,"NA","NA",Conservative Party,0,1
Male,63,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,44,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,46,British Columbia,ndp,"NA","NA",ndp,0,0
Female,29,Ontario,NA,People's Party,"NA",People's Party,0,0
Female,27,Alberta,ndp,"NA",NDP,NDP,0,0
Female,47,Saskatchewan,ndp,"NA",NDP,NDP,0,0
Female,69,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,28,Nova Scotia,Another party (please specify),"NA","NA",Another party (please specify),0,0
Male,55,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,43,Alberta,Liberal Party,"NA","NA",Liberal Party,1,0
Male,64,British Columbia,ndp,"NA","NA",ndp,0,0
Female,58,Ontario,ndp,"NA","NA",ndp,0,0
Female,31,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Male,55,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,30,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,65,British Columbia,Liberal Party,"NA",Conservative Party,Conservative Party,0,1
Male,50,British Columbia,ndp,"NA",NDP,NDP,0,0
Female,41,British Columbia,Green Party,"NA","NA",Green Party,0,0
Female,67,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,29,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,58,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,74,Ontario,ndp,"NA","NA",ndp,0,0
Female,47,Ontario,People's Party,"NA","NA",People's Party,0,0
Female,68,British Columbia,ndp,"NA",NDP,NDP,0,0
Male,42,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,52,Newfoundland and Labrador,Conservative Party,"NA","NA",Conservative Party,0,1
Male,67,Manitoba,Liberal Party,"NA","NA",Liberal Party,1,0
Male,52,Manitoba,Conservative Party,"NA","NA",Conservative Party,0,1
Female,50,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,34,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,29,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,37,Ontario,ndp,"NA",NDP,NDP,0,0
Female,48,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,22,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,64,Saskatchewan,Don't know/ Prefer not to answer,"NA",NDP,NDP,0,0
Male,48,Nova Scotia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,42,Ontario,Liberal Party,"NA",NDP,NDP,0,0
Female,27,Ontario,NA,ndp,"NA",ndp,0,0
Female,28,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,63,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,45,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,26,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,26,Alberta,People's Party,"NA","NA",People's Party,0,0
Male,71,British Columbia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,64,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,50,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,34,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,30,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,72,British Columbia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,37,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,35,British Columbia,ndp,"NA","NA",ndp,0,0
Male,57,British Columbia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,57,Ontario,Green Party,"NA",Green Party,Green Party,0,0
Female,66,Nova Scotia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Male,28,Ontario,ndp,"NA","NA",ndp,0,0
Female,62,Nova Scotia,Don't know/ Prefer not to answer,"NA",NDP,NDP,0,0
Male,33,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,57,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,47,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,49,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,34,British Columbia,Conservative Party,"NA","NA",Conservative Party,0,1
Male,54,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,53,New Brunswick,Green Party,"NA",Green Party,Green Party,0,0
Male,39,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,64,Alberta,Don't know/ Prefer not to answer,"NA",Another party (specify),Another party (specify),0,0
Female,37,Ontario,NA,People's Party,"NA",People's Party,0,0
Male,72,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,62,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,54,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,60,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,24,Prince Edward Island,ndp,"NA","NA",ndp,0,0
Male,40,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,59,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,53,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,32,Ontario,NA,Liberal Party,"NA",Liberal Party,1,0
Female,62,Newfoundland and Labrador,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Male,75,New Brunswick,Liberal Party,"NA","NA",Liberal Party,1,0
Female,40,British Columbia,Conservative Party,"NA","NA",Conservative Party,0,1
Male,72,Saskatchewan,Green Party,"NA",Green Party,Green Party,0,0
Female,47,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,55,Nova Scotia,Conservative Party,"NA","NA",Conservative Party,0,1
Female,31,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,47,Ontario,Don't know/ Prefer not to answer,"NA",Another party (specify),Another party (specify),0,0
Male,63,Nova Scotia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,66,British Columbia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,55,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,32,British Columbia,NA,Liberal Party,"NA",Liberal Party,1,0
Female,35,Newfoundland and Labrador,Conservative Party,"NA","NA",Conservative Party,0,1
Female,54,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,30,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,24,Quebec,NA,Conservative Party,"NA",Conservative Party,0,1
Female,50,Saskatchewan,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,56,British Columbia,Green Party,"NA","NA",Green Party,0,0
Male,74,British Columbia,Conservative Party,"NA","NA",Conservative Party,0,1
Male,41,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,33,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,62,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Male,26,British Columbia,NA,Liberal Party,"NA",Liberal Party,1,0
Female,28,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,67,British Columbia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,51,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,67,Manitoba,Conservative Party,"NA","NA",Conservative Party,0,1
Female,61,Saskatchewan,Conservative Party,"NA","NA",Conservative Party,0,1
Male,65,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,40,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,33,British Columbia,Green Party,"NA","NA",Green Party,0,0
Female,78,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,63,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,47,British Columbia,People's Party,"NA","NA",People's Party,0,0
Female,44,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,53,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,44,Manitoba,Liberal Party,"NA","NA",Liberal Party,1,0
Female,66,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,57,Ontario,ndp,"NA","NA",ndp,0,0
Female,31,Alberta,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,80,Alberta,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,65,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,40,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,33,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,41,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,46,British Columbia,Green Party,"NA","NA",Green Party,0,0
Male,23,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,59,Newfoundland and Labrador,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,52,Alberta,Liberal Party,"NA","NA",Liberal Party,1,0
Female,48,Prince Edward Island,Green Party,"NA","NA",Green Party,0,0
Male,42,British Columbia,People's Party,"NA","NA",People's Party,0,0
Female,34,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,32,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,41,Ontario,Green Party,"NA","NA",Green Party,0,0
Male,62,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,62,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,51,Alberta,ndp,"NA","NA",ndp,0,0
Female,28,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,67,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,69,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,66,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,68,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,52,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,58,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,35,New Brunswick,Green Party,"NA","NA",Green Party,0,0
Male,57,Saskatchewan,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,73,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,67,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,58,Ontario,Green Party,"NA","NA",Green Party,0,0
Male,38,Ontario,ndp,"NA","NA",ndp,0,0
Male,60,Manitoba,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,48,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,34,Nova Scotia,Green Party,"NA",Green Party,Green Party,0,0
Female,68,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,39,Manitoba,Don't know/ Prefer not to answer,"NA",Conservative Party,Conservative Party,0,1
Male,66,Newfoundland and Labrador,Conservative Party,"NA","NA",Conservative Party,0,1
Female,58,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,29,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Alberta,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,48,Quebec,ndp,"NA","NA",ndp,0,0
Female,61,Saskatchewan,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,36,Ontario,NA,Liberal Party,"NA",Liberal Party,1,0
Male,64,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,66,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,40,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Ontario,ndp,"NA","NA",ndp,0,0
Male,60,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,47,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,61,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Male,63,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,30,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,65,Ontario,NA,"NA",Conservative Party,Conservative Party,0,1
Male,25,Manitoba,Conservative Party,"NA","NA",Conservative Party,0,1
Male,64,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,39,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,73,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,31,Ontario,People's Party,"NA","NA",People's Party,0,0
Male,58,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,59,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,54,Quebec,NA,ndp,"NA",ndp,0,0
Male,29,Ontario,ndp,"NA","NA",ndp,0,0
Male,42,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,59,Quebec,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,77,Alberta,Don't know/ Prefer not to answer,"NA",Green Party,Green Party,0,0
Male,74,British Columbia,ndp,"NA",NDP,NDP,0,0
Female,73,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,54,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,56,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Male,65,Quebec,ndp,"NA","NA",ndp,0,0
Female,63,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,41,British Columbia,Green Party,"NA","NA",Green Party,0,0
Male,53,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,29,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,23,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,28,Alberta,People's Party,"NA","NA",People's Party,0,0
Female,54,British Columbia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,54,Quebec,Don't know/ Prefer not to answer,"NA",Bloc QuÃ©bÃ©cois,Bloc QuÃ©bÃ©cois,0,0
Female,33,New Brunswick,ndp,"NA","NA",ndp,0,0
Male,64,British Columbia,ndp,"NA","NA",ndp,0,0
Female,29,Saskatchewan,ndp,"NA","NA",ndp,0,0
Female,67,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,50,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,68,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,64,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,48,Ontario,ndp,"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Female,54,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,46,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,26,Ontario,ndp,"NA","NA",ndp,0,0
Female,74,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,51,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,32,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,50,Newfoundland and Labrador,Conservative Party,"NA","NA",Conservative Party,0,1
Female,61,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,56,Ontario,NA,Don't know/ Prefer not to answer,"NA",Don't know/ Prefer not to answer,0,0
Female,78,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,63,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,45,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,32,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,66,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,73,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,39,Ontario,NA,Conservative Party,"NA",Conservative Party,0,1
Female,23,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,46,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,65,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,68,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,49,British Columbia,NA,People's Party,"NA",People's Party,0,0
Female,25,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,56,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,59,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,66,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,78,Saskatchewan,Conservative Party,"NA","NA",Conservative Party,0,1
Male,50,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Male,38,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,64,Ontario,ndp,"NA","NA",ndp,0,0
Male,22,Quebec,ndp,"NA","NA",ndp,0,0
Male,48,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,35,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,45,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,73,Saskatchewan,Liberal Party,"NA",NDP,NDP,0,0
Male,40,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,69,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,71,British Columbia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,60,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,29,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,35,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,67,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,39,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,51,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,58,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,38,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,60,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
